,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
133,5649,San Carlos - Antioquia,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2012,2012,1074352.0,78.05,2012,2000692.5690506087,53.69900486559081
134,5649,San Carlos - Antioquia,Antioquia,Materiales Construcción (M3),GRAVAS DE RIO,Gravas (M3),2012,2012,66269.85,78.05,2012,123409.8288522742,53.69900486559081
135,5649,San Carlos - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,132262.19,78.05,2012,246302.8697292505,53.69900486559081
136,5660,San Luis - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,28274622.78,78.05,2012,52653904.57564659,53.69900486559081
137,5660,San Luis - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS FERRUGINOSAS,Arcillas (Ton),2012,2012,37718.89,78.05,2012,70241.32028966048,53.69900486559081
138,5660,San Luis - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,1187921.0,78.05,2012,2212184.384,53.69900486559081
139,5664,San Pedro - Antioquia,Antioquia,Otro Mineral Metalico (Kg),CROMO - CROMITA,Otro Min met (Kg),2012,2012,335493.7,78.05,2012,624767.0712702115,53.69900486559081
140,5664,San Pedro - Antioquia,Antioquia,Rocas Ornamentales (M3),SERPENTINA EN RAJON,Rocas Ornamentales (M3),2012,2012,25002.58,78.05,2012,46560.60212397182,53.69900486559081
141,5667,San Rafael,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,11860087.62,78.05,2012,22086233.53390985,53.69900486559081
142,5667,San Rafael,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,36624.92,78.05,2012,68204.09445514414,53.69900486559081
143,5670,San Roque,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,218601113.09,78.05,2012,407085966.7458661,53.69900486559081
144,5670,San Roque,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1826721.65,78.05,2012,3401779.3338485584,53.69900486559081
145,5679,Santa Barbara - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,30795.0,78.05,2012,57347.43144138373,53.69900486559081
146,5686,Santa Rosa de Osos,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,940120.47,78.05,2012,1750722.3315462396,53.69900486559081
147,5686,Santa Rosa de Osos,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,2114.61,78.05,2012,3937.894203613069,53.69900486559081
148,5690,Santo Domingo,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,98154683.78,78.05,2012,182786783.52733397,53.69900486559081
149,5690,Santo Domingo,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,349657.5,78.05,2012,651143.351492633,53.69900486559081
150,5736,Segovia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,4838991100.51,78.05,2012,9011323603.895542,53.69900486559081
151,5736,Segovia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,76417882.95,78.05,2012,142307819.56066933,53.69900486559081
152,5736,Segovia,Antioquia,Metales Preciosos (Gr),PLATINO,Platino (Gr),2012,2012,3523656.35,78.05,2012,6561865.268862524,53.69900486559081
153,5736,Segovia,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,33029.0,78.05,2012,61507.65751185138,53.69900486559081
154,5756,Sonson,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,179405.09,78.05,2012,334093.88209158235,53.69900486559081
155,5756,Sonson,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,39060843.44,78.05,2012,72740348.79746787,53.69900486559081
156,5756,Sonson,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1037.77,78.05,2012,1932.5684015887252,53.69900486559081
157,5756,Sonson,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS FERRUGINOSAS,Arcillas (Ton),2012,2012,390798.43000000005,78.05,2012,727757.3038423576,53.69900486559081
158,5756,Sonson,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,1593366.09,78.05,2012,2967217.1653612815,53.69900486559081
159,5756,Sonson,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,124241699.92,78.05,2012,231366857.22757494,53.69900486559081
160,5756,Sonson,Antioquia,Otro Mineral No Metalico (Ton),DOLOMITA,Calizas (Ton),2012,2012,227428.0,78.05,2012,423523.67715054454,53.69900486559081
161,5756,Sonson,Antioquia,Rocas Ornamentales (M3),MARMOL (BLOQUE MAYOR O IGUAL A 1 M3),Rocas Ornamentales (M3),2012,2012,5640630.0,78.05,2012,10504161.136912236,53.69900486559081
162,5790,Taraza,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2012,2012,14355.0,78.05,2012,26732.338962203718,53.69900486559081
163,5790,Taraza,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,20197.0,78.05,2012,37611.497737347854,53.69900486559081
164,5790,Taraza,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,8815701465.44,78.05,2012,16416880512.973745,53.69900486559081
